id,edge_id,s_id,e_id,direction,class,attribute,width,length,speed_limit,line_string
399590,681123,782850,782851,1,0x03,0x04,7,16,60,"LINESTRING (116.40759 39.99508, 116.40778 39.99508)"
399591,-681123,782851,782850,1,0x03,0x04,7,16,60,"LINESTRING (116.40778 39.99508, 116.40759 39.99508)"
399597,681129,737947,743105,2,0x03,0x01,7,30,40,"LINESTRING (116.4077 39.9914, 116.40783 39.99165)"
399799,681434,779129,766535,2,0x03,0x0a,11,64,50,"LINESTRING (116.37583 39.96827, 116.37508 39.96825)"
399800,681435,766535,20000779351,2,0x03,0x0a,11,7,50,"LINESTRING (116.37508 39.96825, 116.375 39.96825)"
399801,681436,20000779382,766536,2,0x03,0x0a,11,9,50,"LINESTRING (116.375 39.9678, 116.3751 39.96781)"
399802,681437,766536,779125,2,0x03,0x0a,11,32,50,"LINESTRING (116.3751 39.96781, 116.37548 39.96782)"
399840,681461,766545,752792,3,0x03,0x0b,11,72,50,"LINESTRING (116.40448 39.96858, 116.40532 39.96859)"
399841,681462,742181,766545,3,0x03,0x0b,11,46,50,"LINESTRING (116.40394 39.96859, 116.40437 39.96858, 116.40448 39.96858)"
399846,681465,766547,739996,3,0x03,0x0a,11,70,50,"LINESTRING (116.40384 39.96901, 116.40302 39.96901)"
399847,681466,740065,766547,3,0x03,0x0a,11,28,50,"LINESTRING (116.40417 39.96901, 116.40384 39.96901)"
399852,681469,766549,739367,3,0x03,0x0a,11,62,50,"LINESTRING (116.40105 39.96897, 116.40033 39.96894)"
399853,681470,741105,766549,3,0x03,0x0a,11,18,50,"LINESTRING (116.40126 39.96898, 116.40105 39.96897)"
399854,681471,766550,741105,3,0x03,0x0a,11,33,50,"LINESTRING (116.40165 39.96899, 116.40126 39.96898)"
399867,681478,763050,724533,3,0x03,0x0a,15,7,50,"LINESTRING (116.46144 39.94711, 116.46144 39.94705)"
399868,681479,775088,763050,3,0x03,0x0a,15,81,50,"LINESTRING (116.46144 39.94784, 116.46144 39.94711)"
399979,681541,763749,740007,2,0x01,0x05,7,8,50,"LINESTRING (116.45639 39.95663, 116.45631 39.95666)"
399994,681551,742996,763768,2,0x03,0x0a,11,64,60,"LINESTRING (116.45982 39.9546, 116.45924 39.95497)"
399995,681552,763768,740078,2,0x03,0x0a,11,35,60,"LINESTRING (116.45924 39.95497, 116.45892 39.95517)"
400013,681564,737048,743063,2,0x00,0x02,15,157,80,"LINESTRING (116.45177 39.95527, 116.4521 39.95556, 116.45297 39.95634)"
400021,681570,768978,724352,3,0x01,0x02,15,35,80,"LINESTRING (116.45399 39.95818, 116.45369 39.9584)"
400022,681572,714733,768978,3,0x01,0x02,15,33,80,"LINESTRING (116.45428 39.95798, 116.45422 39.95802, 116.45407 39.95813, 116.45399 39.95818)"
400023,681575,752808,768982,2,0x00,0x02,11,314,100,"LINESTRING (116.4957 39.99486, 116.49652 39.9956, 116.4976 39.99662, 116.49806 39.99703)"
400025,681582,768985,737924,2,0x00,0x02,11,269,100,"LINESTRING (116.49759 39.99685, 116.49725 39.99654, 116.49677 39.99609, 116.49556 39.995)"
400026,681584,737932,768990,2,0x01,0x02,15,66,80,"LINESTRING (116.44893 39.98474, 116.44915 39.98459, 116.44951 39.98435)"
400027,681590,768990,740200,2,0x01,0x02,15,70,80,"LINESTRING (116.44951 39.98435, 116.45013 39.98394)"
400028,681593,779202,768994,2,0x00,0x02,11,63,80,"LINESTRING (116.37933 39.98495, 116.37916 39.9855)"
400029,681596,768994,779114,2,0x00,0x02,11,18,80,"LINESTRING (116.37916 39.9855, 116.37912 39.98566)"
400030,681603,779092,769004,2,0x00,0x03,7,104,40,"LINESTRING (116.37728 39.99129, 116.3773 39.99106, 116.37736 39.99074, 116.37738 39.99058, 116.37738 39.99046, 116.37737 39.99036)"
400031,681608,769004,779093,2,0x00,0x03,7,46,40,"LINESTRING (116.37737 39.99036, 116.37737 39.9903, 116.37735 39.99021, 116.3773 39.98995)"
400032,681611,743034,769009,2,0x00,0x03,7,105,30,"LINESTRING (116.3842 39.98788, 116.38381 39.98791, 116.38297 39.98789)"
400033,681613,769009,782588,2,0x00,0x03,7,196,30,"LINESTRING (116.38297 39.98789, 116.38294 39.98789, 116.38245 39.98788, 116.3821 39.98788, 116.38161 39.98787, 116.38124 39.98786, 116.38115 39.98786, 116.38074 39.98786, 116.38067 39.98786)"
400034,681616,740443,769011,2,0x03,0x0a,11,7,60,"LINESTRING (116.48952 39.93156, 116.48952 39.9315)"
400035,681619,769011,754647,2,0x03,0x0a,11,11,60,"LINESTRING (116.48952 39.9315, 116.48952 39.9314)"
400036,681625,740447,769019,2,0x03,0x0a,15,9,60,"LINESTRING (116.48949 39.91997, 116.48949 39.91989)"
400037,681628,769019,750024,2,0x03,0x0a,15,32,60,"LINESTRING (116.48949 39.91989, 116.48949 39.9196)"
400038,681631,765781,740447,2,0x03,0x0a,15,47,60,"LINESTRING (116.48951 39.92039, 116.48949 39.91997)"
400089,681691,740672,756891,2,0x03,0x0a,11,173,40,"LINESTRING (116.43416 39.94647, 116.43417 39.9471, 116.43417 39.94796, 116.43417 39.94803)"
400223,681777,756221,756224,3,0x03,0x0a,11,40,60,"LINESTRING (116.40422 39.98856, 116.40375 39.98854)"
400224,681778,740190,756223,3,0x03,0x0a,11,212,60,"LINESTRING (116.40169 39.98808, 116.40201 39.98809, 116.40417 39.98815)"
400225,681779,740189,756226,2,0x01,0x02,15,127,80,"LINESTRING (116.40237 39.98823, 116.40291 39.98824, 116.40386 39.98826)"
400226,681780,756227,740188,3,0x03,0x0a,11,75,60,"LINESTRING (116.40432 39.98816, 116.40435 39.98816, 116.4052 39.98818)"
400227,681781,756223,756227,3,0x03,0x0a,11,13,60,"LINESTRING (116.40417 39.98815, 116.40432 39.98816)"
400228,681782,756226,756227,2,0x01,0x05,7,41,60,"LINESTRING (116.40386 39.98826, 116.40432 39.98816)"
400269,681808,756225,756256,3,0x01,0x02,15,10,80,"LINESTRING (116.405 39.98846, 116.40488 39.98846)"
400270,681809,756226,756257,2,0x01,0x02,15,32,80,"LINESTRING (116.40386 39.98826, 116.40424 39.98827)"
400271,681810,738601,743031,2,0x01,0x02,15,144,80,"LINESTRING (116.38713 39.98796, 116.38671 39.98795, 116.38605 39.98793, 116.38544 39.98791)"
400272,681811,742089,756259,2,0x01,0x02,15,52,80,"LINESTRING (116.38359 39.98767, 116.3842 39.9877)"
400273,681812,756259,756258,2,0x01,0x02,15,107,80,"LINESTRING (116.3842 39.9877, 116.38487 39.98772, 116.38526 39.98772, 116.38545 39.98773)"
400335,681847,740627,756281,2,0x03,0x0a,11,44,60,"LINESTRING (116.41911 39.98898, 116.41887 39.98897, 116.4186 39.98897)"
400340,681851,743287,756282,3,0x03,0x0a,11,8,60,"LINESTRING (116.42033 39.98901, 116.42024 39.98901)"
